Address,Amount,Begin,Cliff,End,Installment,Delivery
0xA37D8aC82fbfC020106c31312DB7c692A58A0497,10000000000000000000000000,1642392000,1673928000,1737000000,1,https://etherscan.io/tx/0xf739552e0492cdd596b75fd272928313945f04befb8806a78e887fbd3fb5ba43
0x5c4164bEf08be2660319893E39e8BCd54AB602c4,100000000000000000000000000,1649995200,1649995200,1649995200,0,https://etherscan.io/tx/0x4f11f64ccf07598b1fe665da0692f8107fc5940dab7c080c930ad01600e466f4
0xC30bbf1CeB5be9018742E53f96B38a34e5d730F2,100000000000000000000000000,1649995200,1649995200,1649995200,0,https://etherscan.io/tx/0x1f6984ca9473bfdbb348cd605adf00bb758b55b14a8a872840f3312055ac1648
0x977eFA9CA3e0dFB8A70f3970D39f1965Ed70DF8C,55000000000000000000000000,1632801600,1664337600,1727409600,1,https://etherscan.io/tx/0xd215bc66ac8621eb7f1ca0c9899dcc8d8b67a729f87ce0005f1bb4c860f882f3
0xC9c4cD813731c2B8bC35bbE5a5C509bC6bc0F0b7,50000000000000000000000000,1649995200,1649995200,1649995200,0,https://etherscan.io/tx/0x652a09aba710183062999143b80ef54f11cf2a512767132d26b68a196a8cb565
0xEa77389A4A030403521d365022F9C5Dc14A5fE8A,2000000000000000000000000,1648785600,1648785600,1711857600,0,https://etherscan.io/tx/0x683517c29f404965ff2d3b8d8631151e702e29890a1d30d007c413fe3b9cbba8
0xfc81f736F9012d784911eE016D23E6fB89673e60,25000000000000000000000000,1632801600,1664337600,1727409600,1,https://etherscan.io/tx/0x20eb665eb18099efb13ba0006cef48b247b74981b1d6779a14e45096f1d2d9a2
0x1A9deC77516BA05316938D7Fb32F51D646f8d91f,40000000000000000000000000,1638158400,1669694400,1732766400,1,https://etherscan.io/tx/0x84f809989d7b6c467bf2cc99416befb6f4f70e28ab51e46588e76dba908e763f
0xF45c995B76245365DB3E3d59b8EA9bf71Cd83A0a,70000000000000000000000000,1632801600,1664337600,1727409600,1,https://etherscan.io/tx/0xa1e47ee7675eeee786253c485adf5faed104c49dcb9fe58a566a7f105d08b17b
0xeBEaAC07b0BCD2F39874A0d863cE7006206533Cf,50000000000000000000000000,1649995200,1649995200,1649995200,0,https://etherscan.io/tx/0xbac0c1705879fc22ccd5d0f39a2c4ac11c5a230db9e54ae0ac4209d4aca2c907
